"Estimated areas, yield, production, average farm price and total farm value of principal field crops, in metric and imperial units c 1 2 3 4 5 6 7 8 9"
"Frequency: Annual"
"Table: 32-10-0359-01 (formerly CANSIM 001-0017)"
"Release date: 2025-06-27"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,"Saskatchewan",,,,,,,,,
"Harvest disposition","Seeded area (acres)",,,,,,,,,,"Seeded area (acres)",,,,,,,,,
"Type of crop","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Barley 10 11","6,676,222","5,766,000","6,493,200","7,402,100","7,561,200","8,322,139","7,044,700","7,330,600r","6,405,400","6,135,800","2,475,000","2,325,000","2,692,000","3,150,000","3,124,400","3,636,906","2,781,700","2,803,800","2,313,600","2,253,900"
"Canola (rapeseed) 10 12","20,784,044","23,014,100","22,813,200","21,180,900","20,782,600","22,270,249","21,395,700","22,086,700r","22,010,800","21,457,100","11,250,000","12,730,000","12,350,000","11,775,000","11,339,200","11,980,413","11,393,800","12,400,400","12,085,600","12,027,400"
"Chick peas 10","143,000","160,000","442,900","391,900","297,800","221,950","233,800","315,500","480,500","541,000","143,000","160,000","368,600","331,800","252,300","168,654","202,800","272,200","411,000","493,400"
"Lentils 10","5,568,500","4,405,000","3,768,100","3,780,500","4,232,800","4,200,686","4,321,300","3,668,500","4,210,100","4,379,600","5,105,000","3,920,000","3,345,800","3,387,700","3,807,200","3,751,087","3,767,200","3,199,700","3,646,900","3,808,600"
"Oats 10 11","3,045,059","3,200,300","3,052,600","3,595,800","3,839,100","3,711,811","3,936,700","2,535,100r","2,899,900","2,996,100","1,380,000","1,660,000","1,405,000","1,795,900","1,855,700","1,707,370","1,888,600","1,033,000","1,263,100","1,285,400"
"Soybeans 10 13","5,607,397","7,282,000","6,320,100","5,714,300","5,070,300","5,157,986","5,274,200","5,630,700","5,709,700","5,736,800","240,000","850,000","407,500","150,000","126,700","74,273","45,400","68,000","67,000","95,500"
"Sunflower seed 10 14","70,000","65,000","70,900","76,300","111,900","91,427","94,100","99,200","60,000","73,900","..","..","6,300","x","7,600","3,338","x","x","F","F"
"Wheat, all 10 15 16","23,782,597","22,551,300","24,892,100","25,021,200","25,189,600","23,454,535","25,388,100","27,050,500r","26,773,200","27,031,900","12,120,000","11,335,000","12,987,000","12,915,800","12,858,600","11,928,830","13,250,000","14,172,100","14,178,100","14,022,600"
"Wheat, durum 10","6,101,500","5,205,000","6,185,400","4,893,600","5,688,600","5,736,514","6,006,100","6,033,800","6,364,400","6,531,500","5,000,000","4,115,000","4,989,600","4,100,000","4,645,600","4,671,794","4,864,700","4,970,700","5,115,800","5,118,800"
"Wheat, spring 10","15,869,697","15,801,300","17,310,900","18,781,600","17,926,200","16,021,936","18,036,400","19,497,100r","18,942,700","18,808,900","6,870,000","6,955,000","7,827,400","8,705,800","8,053,000","7,092,785","8,306,600","9,141,200","8,960,100","8,773,600"
"Wheat, winter remaining 10 17","1,714,988","1,384,800","1,238,200","929,200","1,367,500","1,503,745","1,212,880r","1,447,600r","1,340,700","1,584,600","240,000","235,000","135,500","104,500","144,900","69,013","71,600","50,300","96,500","126,300"

Symbol legend:
.., not available for a specific reference period
r, revised
x, suppressed to meet the confidentiality requirements of the Statistics Act
F, too unreliable to be published


"Table Corrections:"
Date,Note
"","On December 13, 2016, estimates for category "Wheat, all excluding durum wheat" in 2016 were corrected for the following geographies: Maritime provinces, East and Canada."
"","On September 12, 2023, the data for July 31, 2023 yield and production were restored to published values."
"","On March 4, 2021, the data for 2020 canary seed production in Manitoba were revised in both imperial and metric units."
"","On December 12, 2019, a correction has been made to the number for the production of dry coloured beans in hundredweight for Ontario and Canada in 2019. Both numbers have been divided by one thousand and yields have been adjusted to reflect the updated estimates."
"","On October 11, 2019, a correction was made to the 2018 Saskatchewan and Canada total summerfallow areas in hectares only. The area in acres was correct."



Footnotes:
1,"Field crop surveys collect data from Quebec, Ontario, Manitoba, Saskatchewan and Alberta on three occasions during the crop year (which extends from December to the following November). However, data are collected twice a year (in the Field Crops Survey - June on seeded areas and in the Field Crops Survey - November on final crop production) for Newfoundland and Labrador, Prince Edward Island, Nova Scotia, New Brunswick and British Columbia, which represent between 2% and 4% of national totals. As of July 2014 for the Atlantic Provinces and British Columbia, July and September production estimates are calculated using the final estimates of the last three crop years. The harvested area is first estimated based on the ratio obtained from the sum of harvested areas of the last three years over the sum of the seeded areas of the last three years. This average ratio is applied to their 2014 reported seeded acreage from the June survey. This estimated harvested area is then multiplied by the average yield of the last three years to estimate production."
2,"Totals may not equal the sum of their parts due to the use of conversion factors or rounding of fractions to whole numbers."
3,"On December 13, 2016, estimates for category "Wheat, all excluding durum wheat" in 2016 were corrected for the following geographies: Maritime provinces, East and Canada."
4,"Starting in June 2018, for March, June and November occasions, the Canadian total for a given crop includes all provincial estimates, whether they are published or not based on quality and confidentiality factors. Note that overall, the estimates of the most important crops non-published in the past generally represent less than 5% of the Canadian total."
5,"Starting in July 2019, model-based data were used estimate yield and production for the province of Manitoba for the July occasion."
6,"Starting in July 2020, model-based data was used to estimate the July occasion yield and production for the provinces of Ontario, Quebec, Manitoba, Alberta, and Saskatchewan.  The July model incorporates coarse resolution satellite data from Statistics Canada's Crop Condition Assessment Program, data from Statistics Canada's field crop reporting series, and agroclimatic data.  "
7,"Starting in September 2016, model-based data was used to estimate the September survey occasion yield and production for the provinces of Ontario, Quebec, Manitoba, Alberta, and Saskatchewan.  The September model incorporates coarse resolution satellite data from Statistics Canada's Crop Condition Assessment Program, data from Statistics Canada's field crop reporting series, and agroclimatic data up until the end of August.  In September 2020, an enhanced crop yield model that incorporates crop insurance was used."
8,"Provincial estimates released for July and September occasions, based on coarse resolution remote sensing imagery, may be unavailable in some cases. Canada totals represent the sum of available estimates."
9,"Starting in December 2022 seeding intentions, previously collected in March, are now collected in December."
10,"Metric data were previously released in CANSIM table 001-0010, which is no longer available as of December 2017. Metric and imperial data are now both included in table 32-10-0359-01 (previously known as 001-0017)."
11,"Data for British Columbia begin in 1910."
12,"Estimates are not available for small area, which were grown in Alberta and Ontario between 1943 and 1945. Data begin in 1943 for Manitoba and Saskatchewan, in 1955 for Alberta, in 1967 for British Columbia, in 1983 for Ontario, in 1996 for Quebec, and in 2012 for New Brunswick, Prince Edward Island, Nova Scotia and Newfoundland and Labrador."
13,"Most of the soybean crop is grown in Ontario but it was also grown in small areas in other provinces in the years 1942 to 1945. The total for Canada included this production but provincial data were not shown. Data for Manitoba begin in 1956, were discontinued in 1960 and re-activated in 2001. Data begin in 1986 for Quebec and in 1991 for Prince Edward Island.  Data for Nova Scotia and New Brunswick start in 2010, in 2013 for Saskatchewan, and in 2018 for Newfoundland and Labrador, Alberta and British Columbia."
14,"Data for Manitoba, Alberta and Saskatchewan begin in 1943.  Data were discontinued in 2005 for Alberta and in 2008 for Saskatchewan. Both re-start in 2018."
15,"Seeded area, yield and production of all wheat in Alberta include relatively small estimates of winter wheat for years 1921 to 1977."
16,"All wheat includes spring wheat, durum wheat and winter wheat seeded in the fall."
17,"Winter wheat remaining and fall rye remaining indicate the areas seeded in the fall of the previous year that are remaining after winterkill."



"How to cite: Statistics Canada. Table 32-10-0359-01  Estimated areas, yield, production, average farm price and total farm value of principal field crops, in metric and imperial units"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901
