year,crop,value,measure
2016,Barley,2475000.0,Seeded area (acres)
2017,Barley,2325000.0,Seeded area (acres)
2018,Barley,2692000.0,Seeded area (acres)
2019,Barley,3150000.0,Seeded area (acres)
2020,Barley,3124400.0,Seeded area (acres)
2021,Barley,3636906.0,Seeded area (acres)
2022,Barley,2781700.0,Seeded area (acres)
2023,Barley,2803800.0,Seeded area (acres)
2024,Barley,2313600.0,Seeded area (acres)
2025,Barley,2253900.0,Seeded area (acres)
2016,Canola (rapeseed),11250000.0,Seeded area (acres)
2017,Canola (rapeseed),12730000.0,Seeded area (acres)
2018,Canola (rapeseed),12350000.0,Seeded area (acres)
2019,Canola (rapeseed),11775000.0,Seeded area (acres)
2020,Canola (rapeseed),11339200.0,Seeded area (acres)
2021,Canola (rapeseed),11980413.0,Seeded area (acres)
2022,Canola (rapeseed),11393800.0,Seeded area (acres)
2023,Canola (rapeseed),12400400.0,Seeded area (acres)
2024,Canola (rapeseed),12085600.0,Seeded area (acres)
2025,Canola (rapeseed),12027400.0,Seeded area (acres)
2016,Chick peas,143000.0,Seeded area (acres)
2017,Chick peas,160000.0,Seeded area (acres)
2018,Chick peas,368600.0,Seeded area (acres)
2019,Chick peas,331800.0,Seeded area (acres)
2020,Chick peas,252300.0,Seeded area (acres)
2021,Chick peas,168654.0,Seeded area (acres)
2022,Chick peas,202800.0,Seeded area (acres)
2023,Chick peas,272200.0,Seeded area (acres)
2024,Chick peas,411000.0,Seeded area (acres)
2025,Chick peas,493400.0,Seeded area (acres)
2016,Lentils,5105000.0,Seeded area (acres)
2017,Lentils,3920000.0,Seeded area (acres)
2018,Lentils,3345800.0,Seeded area (acres)
2019,Lentils,3387700.0,Seeded area (acres)
2020,Lentils,3807200.0,Seeded area (acres)
2021,Lentils,3751087.0,Seeded area (acres)
2022,Lentils,3767200.0,Seeded area (acres)
2023,Lentils,3199700.0,Seeded area (acres)
2024,Lentils,3646900.0,Seeded area (acres)
2025,Lentils,3808600.0,Seeded area (acres)
2016,Soybeans,240000.0,Seeded area (acres)
2017,Soybeans,850000.0,Seeded area (acres)
2018,Soybeans,407500.0,Seeded area (acres)
2019,Soybeans,150000.0,Seeded area (acres)
2020,Soybeans,126700.0,Seeded area (acres)
2021,Soybeans,74273.0,Seeded area (acres)
2022,Soybeans,45400.0,Seeded area (acres)
2023,Soybeans,68000.0,Seeded area (acres)
2024,Soybeans,67000.0,Seeded area (acres)
2025,Soybeans,95500.0,Seeded area (acres)
2018,Sunflower seed,6300.0,Seeded area (acres)
2020,Sunflower seed,7600.0,Seeded area (acres)
2021,Sunflower seed,3338.0,Seeded area (acres)
