"Estimated areas, yield, production, average farm price and total farm value of principal field crops, in metric and imperial units c 1 2 3 4 5 6 7 8 9"
"Frequency: Annual"
"Table: 32-10-0359-01 (formerly CANSIM 001-0017)"
"Release date: 2025-06-27"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","Saskatchewan",,,,,,,,,
"Harvest disposition","Seeded area (acres)",,,,,,,,,
"Type of crop","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Barley 10 11","2,475,000","2,325,000","2,692,000","3,150,000","3,124,400","3,636,906","2,781,700","2,803,800","2,313,600","2,253,900"
"Canola (rapeseed) 10 12","11,250,000","12,730,000","12,350,000","11,775,000","11,339,200","11,980,413","11,393,800","12,400,400","12,085,600","12,027,400"
"Chick peas 10","143,000","160,000","368,600","331,800","252,300","168,654","202,800","272,200","411,000","493,400"
"Lentils 10","5,105,000","3,920,000","3,345,800","3,387,700","3,807,200","3,751,087","3,767,200","3,199,700","3,646,900","3,808,600"
"Soybeans 10 13","240,000","850,000","407,500","150,000","126,700","74,273","45,400","68,000","67,000","95,500"
"Sunflower seed 10 14","..","..","6,300","x","7,600","3,338","x","x","F","F"

Symbol legend:
.., not available for a specific reference period
x, suppressed to meet the confidentiality requirements of the Statistics Act
F, too unreliable to be published


"Table Corrections:"
Date,Note
"","On December 13, 2016, estimates for category "Wheat, all excluding durum wheat" in 2016 were corrected for the following geographies: Maritime provinces, East and Canada."
"","On September 12, 2023, the data for July 31, 2023 yield and production were restored to published values."
"","On March 4, 2021, the data for 2020 canary seed production in Manitoba were revised in both imperial and metric units."
"","On December 12, 2019, a correction has been made to the number for the production of dry coloured beans in hundredweight for Ontario and Canada in 2019. Both numbers have been divided by one thousand and yields have been adjusted to reflect the updated estimates."
"","On October 11, 2019, a correction was made to the 2018 Saskatchewan and Canada total summerfallow areas in hectares only. The area in acres was correct."



Footnotes:
1,"Field crop surveys collect data from Quebec, Ontario, Manitoba, Saskatchewan and Alberta on three occasions during the crop year (which extends from December to the following November). However, data are collected twice a year (in the Field Crops Survey - June on seeded areas and in the Field Crops Survey - November on final crop production) for Newfoundland and Labrador, Prince Edward Island, Nova Scotia, New Brunswick and British Columbia, which represent between 2% and 4% of national totals. As of July 2014 for the Atlantic Provinces and British Columbia, July and September production estimates are calculated using the final estimates of the last three crop years. The harvested area is first estimated based on the ratio obtained from the sum of harvested areas of the last three years over the sum of the seeded areas of the last three years. This average ratio is applied to their 2014 reported seeded acreage from the June survey. This estimated harvested area is then multiplied by the average yield of the last three years to estimate production."
2,"Totals may not equal the sum of their parts due to the use of conversion factors or rounding of fractions to whole numbers."
3,"On December 13, 2016, estimates for category "Wheat, all excluding durum wheat" in 2016 were corrected for the following geographies: Maritime provinces, East and Canada."
4,"Starting in June 2018, for March, June and November occasions, the Canadian total for a given crop includes all provincial estimates, whether they are published or not based on quality and confidentiality factors. Note that overall, the estimates of the most important crops non-published in the past generally represent less than 5% of the Canadian total."
5,"Starting in July 2019, model-based data were used estimate yield and production for the province of Manitoba for the July occasion."
6,"Starting in July 2020, model-based data was used to estimate the July occasion yield and production for the provinces of Ontario, Quebec, Manitoba, Alberta, and Saskatchewan.  The July model incorporates coarse resolution satellite data from Statistics Canada's Crop Condition Assessment Program, data from Statistics Canada's field crop reporting series, and agroclimatic data.  "
7,"Starting in September 2016, model-based data was used to estimate the September survey occasion yield and production for the provinces of Ontario, Quebec, Manitoba, Alberta, and Saskatchewan.  The September model incorporates coarse resolution satellite data from Statistics Canada's Crop Condition Assessment Program, data from Statistics Canada's field crop reporting series, and agroclimatic data up until the end of August.  In September 2020, an enhanced crop yield model that incorporates crop insurance was used."
8,"Provincial estimates released for July and September occasions, based on coarse resolution remote sensing imagery, may be unavailable in some cases. Canada totals represent the sum of available estimates."
9,"Starting in December 2022 seeding intentions, previously collected in March, are now collected in December."
10,"Metric data were previously released in CANSIM table 001-0010, which is no longer available as of December 2017. Metric and imperial data are now both included in table 32-10-0359-01 (previously known as 001-0017)."
11,"Data for British Columbia begin in 1910."
12,"Estimates are not available for small area, which were grown in Alberta and Ontario between 1943 and 1945. Data begin in 1943 for Manitoba and Saskatchewan, in 1955 for Alberta, in 1967 for British Columbia, in 1983 for Ontario, in 1996 for Quebec, and in 2012 for New Brunswick, Prince Edward Island, Nova Scotia and Newfoundland and Labrador."
13,"Most of the soybean crop is grown in Ontario but it was also grown in small areas in other provinces in the years 1942 to 1945. The total for Canada included this production but provincial data were not shown. Data for Manitoba begin in 1956, were discontinued in 1960 and re-activated in 2001. Data begin in 1986 for Quebec and in 1991 for Prince Edward Island.  Data for Nova Scotia and New Brunswick start in 2010, in 2013 for Saskatchewan, and in 2018 for Newfoundland and Labrador, Alberta and British Columbia."
14,"Data for Manitoba, Alberta and Saskatchewan begin in 1943.  Data were discontinued in 2005 for Alberta and in 2008 for Saskatchewan. Both re-start in 2018."



"How to cite: Statistics Canada. Table 32-10-0359-01  Estimated areas, yield, production, average farm price and total farm value of principal field crops, in metric and imperial units"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901
